id,type,category,organization,target_role,email,pec,website,level,region,province,priority,docenti_target
"ORD-NAT-012","COLLEGIO","EDILIZIA_TERRITORIO","Consiglio Nazionale Geometri e Geometri Laureati (CNGeGL)","Presidente e Consiglio Nazionale","cng@cng.it","sede@pec.cng.it","https://www.cng.it","NAZIONALE","NAZIONALE","RM","CRITICA","Geometri, topografi, esperti catasto, stime immobiliari, perizie tecniche, BIM"
"ORD-NAT-013","COLLEGIO","INGEGNERIA_TECNICA","Consiglio Nazionale dei Periti Industriali e dei Periti Industriali Laureati (CNPI)","Presidente e Consiglio Nazionale","segreteria@cnpi.it","cnpi@pec.cnpi.it","https://www.cnpi.eu","NAZIONALE","NAZIONALE","RM","CRITICA","Periti elettrotecnici, meccanici, chimici, informatici, automazione e termotecnici"
"ORD-NAT-014","COLLEGIO","AGRARIA_AMBIENTE","Collegio Nazionale dei Periti Agrari e dei Periti Agrari Laureati (CNPA)","Presidente e Consiglio Nazionale","segreteria@peritiagrari.it","collegionazionale@pec.peritiagrari.it","https://www.peritiagrari.it","NAZIONALE","NAZIONALE","RM","ALTA","Periti agrari, esperti produzioni vegetali, enologia, zootecnia, qualità agroalimentare"
"ORD-NAT-015","COLLEGIO","COLLEGIO_AGROTECNICI","Collegio Nazionale degli Agrotecnici e degli Agrotecnici Laureati","Presidente e Consiglio di Presidenza","agrotecnici@agrotecnici.it","agrotecnici@pecagrotecnici.it","https://www.agrotecnici.it","NAZIONALE","NAZIONALE","FC","ALTA","Agrotecnici, esperti conduzione aziendale agricola, energie rinnovabili in agricoltura"
"ORD-NAT-016","ORDINE","SCIENZE_TERRA","Consiglio Nazionale dei Geologi (CNG)","Presidente e Consiglio Nazionale","info@cngeologi.it","segreteria@pec.cngeologi.it","https://www.cngeologi.it","NAZIONALE","NAZIONALE","RM","ALTA","Geologi, idrogeologi, esperti dissesto idrogeologico, geotecnica, sismica, bonifiche"
"ORD-NAT-017","ORDINE","SCIENZE_NATURALI","Federazione Nazionale degli Ordini dei Biologi (FNOB)","Presidente e Consiglio Direttivo","protocollo@fnob.it","protocollo@cert.fnob.it","https://www.fnob.it","NAZIONALE","NAZIONALE","RM","ALTA","Biologi nutrizionisti, laboratoristi, esperti impatto ambientale, microbiologi"
"ORD-NAT-018","ORDINE","CHIMICA_FISICA","Federazione Nazionale degli Ordini dei Chimici e dei Fisici (FNCF)","Presidente e Consiglio Direttivo","segreteria@chimicifisici.it","segreteria@pec.chimicifisici.it","https://www.chimicifisici.it","NAZIONALE","NAZIONALE","RM","ALTA","Chimici e fisici, sicurezza chimica, REACH/CLP, fisica medica, transizione ecologica"
"ORD-NAT-019","ORDINE","GIORNALISMO_COMUNICAZIONE","Consiglio Nazionale dell'Ordine dei Giornalisti (CNOG)","Presidente e Consiglio Nazionale","odg@odg.it","odg@pec.odg.it","https://www.odg.it","NAZIONALE","NAZIONALE","RM","ALTA","Giornalisti professionisti e pubblicisti, esperti digital media, etica dell'informazione, storytelling"
"ASS-NAT-001","ASSOCIAZIONE_CATEGORIA","INDUSTRIA","Confindustria Nazionale","Direzione Generale e Area Capitale Umano / Education","confindustria@confindustria.it","confindustria@pec.confindustria.it","https://www.confindustria.it","NAZIONALE","NAZIONALE","RM","CRITICA","Manager d'azienda, direttori operations, esperti Industria 5.0, supply chain"
"ASS-NAT-002","ASSOCIAZIONE_CATEGORIA","ARTIGIANATO_PMI","Confartigianato Imprese","Segreteria Generale e Formazione","confartigianato@confartigianato.it","confartigianato@cert.confartigianato.it","https://www.confartigianato.it","NAZIONALE","NAZIONALE","RM","CRITICA","Mastri artigiani, tecnici specializzati, esperti innovazione artigiana e manifattura digitale"
"ASS-NAT-003","ASSOCIAZIONE_CATEGORIA","ARTIGIANATO_PMI","CNA - Confederazione Nazionale dell'Artigianato e della Piccola e Media Impresa","Segretario Generale e Divisione Formazione","cna@cna.it","presidenza.direzionegenerale@cert.cna.it","https://www.cna.it","NAZIONALE","NAZIONALE","RM","CRITICA","Formatori per PMI, esperti impiantistica, meccanica di precisione, restauro, moda"
"ASS-NAT-004","ASSOCIAZIONE_CATEGORIA","COMMERCIO_SERVIZI","Confcommercio - Imprese per l'Italia","Direzione Generale e Ufficio Formazione","confcommercio@confcommercio.it","confcommercio@pec.confcommercio.it","https://www.confcommercio.it","NAZIONALE","NAZIONALE","RM","CRITICA","Professionisti retail, e-commerce, logistica commerciale, hospitality, marketing dei servizi"
"ASS-NAT-005","ASSOCIAZIONE_CATEGORIA","COMMERCIO_SERVIZI","Confesercenti Nazionale","Presidenza e Ufficio Sviluppo Competenze","confesercenti@confesercenti.it","confesercenti@cert.confesercenti.it","https://www.confesercenti.it","NAZIONALE","NAZIONALE","RM","ALTA","Esperti accoglienza turistica, somministrazione, enogastronomia, commercio di vicinato"
"ASS-NAT-006","ASSOCIAZIONE_CATEGORIA","AGRICOLTURA","Coldiretti Nazionale","Presidenza e Direzione Generale","coldiretti@coldiretti.it","coldiretti@pec.coldiretti.it","https://www.coldiretti.it","NAZIONALE","NAZIONALE","RM","CRITICA","Imprenditori agricoli innovativi, esperti filiera corta, agriturismo, certificazioni DOP/IGP"
"ASS-NAT-007","ASSOCIAZIONE_CATEGORIA","AGRICOLTURA","Confagricoltura Nazionale","Presidenza e Area Formazione","confagricoltura@confagricoltura.it","confagricoltura@pec.confagricoltura.it","https://www.confagricoltura.it","NAZIONALE","NAZIONALE","RM","ALTA","Agronomi aziendali, gestione d'impresa agricola, energie pulite e idrico"
"ASS-NAT-008","ASSOCIAZIONE_CATEGORIA","AGRICOLTURA","CIA - Agricoltori Italiani","Presidenza e Ufficio Formazione","cia@cia.it","segreteria@cert.cia.it","https://www.cia.it","NAZIONALE","NAZIONALE","RM","ALTA","Esperti multifunzionalità agricola, biologico, tutela idrogeologica"
"ASS-NAT-009","ASSOCIAZIONE_CATEGORIA","COOPERAZIONE","Alleanza delle Cooperative Italiane (Confcooperative, Legacoop, AGCI)","Presidenza e Formazione Mutualistica","info@alleanzacooperative.it","alleanzacooperative@pec.it","https://www.alleanzacooperative.it","NAZIONALE","NAZIONALE","RM","CRITICA","Manager cooperativi, governance sociale, welfare cooperativo, economia circolare"
"CCIAA-NAT-001","CCIAA","SISTEMA_CAMERALE","Unioncamere Nazionale","Segretario Generale e Ufficio Formazione","unioncamere@unioncamere.it","unioncamere@cert.legalmail.it","https://www.unioncamere.gov.it","NAZIONALE","NAZIONALE","RM","CRITICA","Esperti alternanza scuola-lavoro/PCTO, digitalizzazione PID, orientamento al lavoro"
"CCIAA-TER-001","CCIAA","SISTEMA_CAMERALE","Camera di Commercio Venezia Rovigo (Area Delta del Po)","Segretario Generale e Presidio di Rovigo","urp@dl.camcom.it","cciaadl@legalmail.it","https://www.dl.camcom.it","TERRITORIALE","VENETO","RO","CRITICA","Esperti economia ittica, turismo sostenibile Delta del Po, logistica idroviaria, agroalimentare"
"CCIAA-TER-002","CCIAA","SISTEMA_CAMERALE","Camera di Commercio di Ferrara e Ravenna (Area Delta del Po)","Presidenza e Ufficio Promozione","promozione@fera.camcom.it","cciaa@pec.fera.camcom.it","https://www.fera.camcom.it","TERRITORIALE","EMILIA_ROMAGNA","FE","CRITICA","Docenti bio-diversità, meccatronica ferrarese, chimica verde, patrimonio UNESCO"
"CCIAA-TER-003","CCIAA","SISTEMA_CAMERALE","Camera di Commercio di Padova","Presidenza e Ufficio Formazione","urp@pd.camcom.it","cciaa@pd.legalmail.camcom.it","https://www.pd.camcom.it","TERRITORIALE","VENETO","PD","ALTA","Esperti trasferimento tecnologico, brevetti, automazione e servizi avanzati"
"CCIAA-TER-004","CCIAA","SISTEMA_CAMERALE","Camera di Commercio di Verona","Presidenza e Direzione","urp@vr.camcom.it","cciaa.verona@vr.legalmail.camcom.it","https://www.vr.camcom.it","TERRITORIALE","VENETO","VR","ALTA","Esperti logistica intermodale, viticoltura ed enologia, packaging, fiere internazionali"
"CCIAA-TER-005","CCIAA","SISTEMA_CAMERALE","Camera di Commercio di Bologna","Segretario Generale e Servizi Imprese","urp@bo.camcom.it","cciaa@bo.legalmail.camcom.it","https://www.bo.camcom.it","TERRITORIALE","EMILIA_ROMAGNA","BO","ALTA","Esperti packaging valley, intelligenza artificiale applicata, motor valley, cooperazione"
"L4-NAT-001","ASSOCIAZIONE_L4","MANAGEMENT_CONSULENZA","APCO - Associazione Professionale Italiana Consulenti di Management","Presidente e Consiglio Direttivo","segreteria@apcoassociati.it","apco@pec.apcoassociati.it","https://www.apcoassociati.it","NAZIONALE","NAZIONALE","MI","CRITICA","Certified Management Consultants (CMC), consulenti di direzione, strategia e change management"
"L4-NAT-002","ASSOCIAZIONE_L4","RISORSE_UMANE","AIDP - Associazione Italiana per la Direzione del Personale","Presidente e Segreteria Nazionale","aidp@aidp.it","aidp@pec.it","https://www.aidp.it","NAZIONALE","NAZIONALE","MI","CRITICA","HR Director, People Manager, specialisti recruiting, talent acquisition e formazione"
"L4-NAT-003","ASSOCIAZIONE_L4","FORMAZIONE_COACHING","AIF - Associazione Italiana Formatori","Presidente e Segreteria Nazionale","segreteria@associazioneitalianaformatori.it","aif@pec.aifformatori.it","https://associazioneitalianaformatori.it","NAZIONALE","NAZIONALE","MI","CRITICA","Master trainer, formatori aziendali certificati, progettisti didattici, instructional designer"
"L4-NAT-004","ASSOCIAZIONE_L4","FORMAZIONE_COACHING","AICP - Associazione Italiana Coach Professionisti","Presidente e Responsabile Formazione","segreteria@associazionecoach.com","aicp@pec.it","https://www.associazionecoach.com","NAZIONALE","NAZIONALE","RM","CRITICA","Executive coach, business coach, life coach, trainer PNL e intelligenza emotiva"
"L4-NAT-005","ASSOCIAZIONE_L4","PROJECT_MANAGEMENT","ISIPM - Istituto Italiano di Project Management","Presidente e Comitato Scientifico","info@isipm.org","isipm@pec.it","https://www.isipm.org","NAZIONALE","NAZIONALE","RM","CRITICA","Project Manager certificati ISIPM/PMP, specialisti Agile, Scrum Master, Risk Manager"
"L4-NAT-006","ASSOCIAZIONE_L4","INFORMATICA_DIGITALE","AICA - Associazione Italiana per l'Informatica e il Calcolo Automatico","Presidente e Direzione Formazione","segreteria@aicanet.it","aica@pec.aicanet.it","https://www.aicanet.it","NAZIONALE","NAZIONALE","MI","CRITICA","Esperti e-skills, docenti cybersecurity, cloud architecture, certificatori ICDL/EUCIP"
"L4-NAT-007","ASSOCIAZIONE_L4","COMUNICAZIONE_MARKETING","FERPI - Federazione Relazioni Pubbliche Italiana","Presidente e Commissione Aggiornamento Professionale","info@ferpi.it","ferpi@pec.it","https://www.ferpi.it","NAZIONALE","NAZIONALE","MI","ALTA","Professionisti RP, comunicatori d'impresa, specialisti relazioni con i media e crisis management"
"L4-NAT-008","ASSOCIAZIONE_L4","FINANZA_TRIBUTI","ANCOT - Associazione Nazionale Consulenti Tributari","Presidente e Segreteria Nazionale","ancot@ancot.it","ancot@pec.ancot.it","https://www.ancot.it","NAZIONALE","NAZIONALE","RM","ALTA","Tributaristi qualificati, fiscalisti, esperti contenzioso e adempimenti contabili"
"L4-NAT-009","ASSOCIAZIONE_L4","FINANZA_TRIBUTI","LAPET - Associazione Nazionale Tributaristi","Presidente Nazionale","segreteria@tributaristilapet.it","lapet@pec.tributaristilapet.it","https://www.tributaristilapet.it","NAZIONALE","NAZIONALE","RM","ALTA","Tributaristi, consulenti aziendali, esperti antiriciclaggio e fiscalità internazionale"
"L4-NAT-010","ASSOCIAZIONE_L4","MEDIAZIONE_CONCILIAZIONE","A.I.Me.F. - Associazione Italiana Mediatori Familiari","Presidente e Commissione Didattica","segreteria@aimef.it","aimef@pec.it","https://www.aimef.it","NAZIONALE","NAZIONALE","RM","ALTA","Mediatori familiari, esperti risoluzione conflitti, negoziazione e diritto di famiglia"
"FND-NAT-001","FONDO_INTERPROFESSIONALE","FORMAZIONE_FINANZIATA","FONDIMPRESA","Direzione Generale e Comitato Paritetico","info@fondimpresa.it","fondimpresa@pec.fondimpresa.it","https://www.fondimpresa.it","NAZIONALE","NAZIONALE","RM","CRITICA","Docenti per piani formativi aziendali, territoriali e di competitività industriale"
"FND-NAT-002","FONDO_INTERPROFESSIONALE","FORMAZIONE_FINANZIATA","FONDIRIGENTI","Direzione e Area Formazione Manageriale","fondirigenti@fondirigenti.it","fondirigenti@pec.fondirigenti.it","https://www.fondirigenti.it","NAZIONALE","NAZIONALE","RM","CRITICA","Executive trainer, docenti leadership, governance e trasformazione digitale per dirigenti"
"FND-NAT-003","FONDO_INTERPROFESSIONALE","FORMAZIONE_FINANZIATA","FON.TER - Fondo Paritetico Interprofessionale per il Terziario","Presidenza e Ufficio Bandi","info@fonter.it","fonter@pec.fonter.it","https://www.fonter.it","NAZIONALE","NAZIONALE","RM","ALTA","Formatori per imprese del commercio, turismo e servizi"
"FND-NAT-004","FONDO_INTERPROFESSIONALE","FORMAZIONE_FINANZIATA","FONDIR - Fondo Dirigenti Commercio","Direzione Generale","info@fondir.it","fondir@pec.fondir.it","https://www.fondir.it","NAZIONALE","NAZIONALE","RM","ALTA","Docenti per dirigenti del terziario, finanza, grande distribuzione e assicurazioni"
"FND-NAT-005","FONDO_INTERPROFESSIONALE","FORMAZIONE_FINANZIATA","FON.COOP - Fondo Paritetico per le Imprese Cooperative","Direzione e Programmazione Didattica","info@foncoop.coop","foncoop@pec.foncoop.coop","https://www.foncoop.coop","NAZIONALE","NAZIONALE","RM","ALTA","Formatori per il mondo cooperativo, sociosanitario, welfare territoriale e sociale"
"FED-NAT-001","FEDERAZIONE_PROFESSIONALE","LIBERE_PROFESSIONI","Confprofessioni - Confederazione Italiana Libere Professioni","Presidenza Nazionale e Ufficio Formazione","segreteria@confprofessioni.eu","confprofessioni@pec.confprofessioni.eu","https://www.confprofessioni.eu","NAZIONALE","NAZIONALE","RM","CRITICA","Professionisti multidisciplinari, gestione dello studio professionale, welfare per professionisti"
"FED-NAT-002","FEDERAZIONE_PROFESSIONALE","LIBERE_PROFESSIONI","CUP - Comitato Unitario Permanente degli Ordini e Collegi Professionali","Presidente e Consiglio Direttivo","segreteria@cupprofessioni.it","cup@pec.cupprofessioni.it","https://www.cupprofessioni.it","NAZIONALE","NAZIONALE","RM","CRITICA","Docenti e coordinatori per tutti i 20 ordini professionali regolamentati"
"FED-NAT-003","FEDERAZIONE_PROFESSIONALE","LIBERE_PROFESSIONI","CoLAP - Coordinamento Libere Associazioni Professionali","Presidenza Nazionale","segreteria@colap.it","colap@pec.it","https://www.colap.it","NAZIONALE","NAZIONALE","RM","CRITICA","Professionisti delle 200+ associazioni della Legge 4/2013"
"ORD-ROV-001","ORDINE","INGEGNERIA_TECNICA","Ordine degli Ingegneri della Provincia di Rovigo","Presidente e Consiglio Direttivo","segreteria@ordineingegneri.rovigo.it","ordine.rovigo@ingpec.eu","https://www.ordineingegneri.rovigo.it","PROVINCIALE","VENETO","RO","CRITICA","Ingegneri idraulici del Polesine, bonifiche, geotecnica, transizione energetica Delta Po"
"ORD-ROV-002","ORDINE","ECONOMIA_GIURIDICA","Ordine dei Dottori Commercialisti ed Esperti Contabili di Rovigo","Presidente e Segreteria","segreteria@odcec.rovigo.it","ordine@pec.odcec.rovigo.it","https://www.odcec.rovigo.it","PROVINCIALE","VENETO","RO","CRITICA","Commercialisti territoriali, esperti finanza agevolata ZLS/ZES, consorzi di bonifica"
"COL-ROV-001","COLLEGIO","EDILIZIA_TERRITORIO","Collegio dei Geometri e Geometri Laureati di Rovigo","Presidente e Segreteria","collegio.rovigo@geopec.it","collegio.rovigo@geopec.it","https://www.geometri.rovigo.it","PROVINCIALE","VENETO","RO","CRITICA","Geometri esperti territorio idrografico del Po, perizie marittime e portuali, rilievi droni"
"ASS-ROV-001","ASSOCIAZIONE_CATEGORIA","INDUSTRIA","Confindustria Veneto Est (Sede Territoriale di Rovigo)","Direzione Territoriale di Rovigo","info@confindustriavenest.it","confindustriavenetoest@pec.it","https://www.confindustriavenest.it","PROVINCIALE","VENETO","RO","CRITICA","Leader industriali del manifatturiero polesano, chimico, alimentare e cantieristica"
"ASS-ROV-002","ASSOCIAZIONE_CATEGORIA","ARTIGIANATO_PMI","Confartigianato Imprese Polesine","Presidenza e Ufficio Categorie","info@confartigianatopolesine.it","confartigianato.polesine@cert.cna.it","https://www.confartigianatopolesine.it","PROVINCIALE","VENETO","RO","CRITICA","Mastri d'ascia, artigiani della meccanica nautica, impiantistica e bioedilizia"
"ASS-ROV-003","ASSOCIAZIONE_CATEGORIA","AGRICOLTURA","Coldiretti Rovigo","Presidenza e Direttore Provinciale","rovigo@coldiretti.it","rovigo@pec.coldiretti.it","https://rovigo.coldiretti.it","PROVINCIALE","VENETO","RO","CRITICA","Esperti acquacoltura (vongole di Scardovari, cozze), riso del Delta del Po IGP, agriturismi"
